network,inputfile,objective,delta,optimizer,status,optval,time,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,VanillaMIPGurobi_8threads_1000.0m,success,-0.059752807,0.079990558,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,VanillaMIPGurobi_1threads_1000.0m,success,-0.059752807,0.083780484,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,VanillaMIPGLPK_1000.0m,timeout,-1,3600.202616,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Sherlock_Gurobi_8threads_1000.0m,success,-0.059752807,1.152634041,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Sherlock_Gurobi_1threads_1000.0m,success,-0.059752807,0.498801654,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Sherlock_GLPK_1000.0m,success,-0.059752807,641.6288114,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,LBFGS,success,-0.085150682,0.357907372,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,PGD,success,-0.087586491,0.001501975,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,FGSM,success,-0.085150681,0.002420095,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabounosbt_ReLUViolation,success,-0.085150682,1.262621682,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabousbt_ReLUViolation,success,-0.085150682,0.741324878,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabounosbt_EarliestReLU,success,-0.085150682,1.006708435,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabousbt_EarliestReLU,success,-0.085150682,0.76740882,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.085190559,2.780737325,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_sbt_ReLUViolation,success,-0.085190559,2.994367559,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.085190559,3.241726592,,,,,,,
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_sbt_EarliestReLU,success,-0.085190559,3.472942094,,,,,,,
